Manuf,Fam,Fam2,Fam3,Logo,Logo2,Logo3,Logo4,Logo5,Logo6,Logo7,Logo8,,,,
AMD,"Zen 2",,,AMD_Zen_2_logo.png,,,,,,,,,,,
AMD,"Zen 3",,,Zen-3-logo-transparent-2020-inverted.svg,,,,,,,,,,,
AMD,"Zen 4",,,AMD_Zen_4_logo.png,,,,,,,,,,,
Analog,Blackfin,,,family_logo-Analog-Devices--Blackfin.png,,,,,,,,,,,
"Analog Devices",ADSP-2100,,,analog-devices-adsp-2100.webp,,,,,,,,,,,
Apple,M1,,,"Apple M1.svg",,,,,,,,,,,
ARM,Cortex,,,arm-cortex-logo.png,,,,,,,,,,,
Atmel,AVR,,,"Avr logo.svg",,,,,,,,,,,
AT&T,DSP16,,,att-we-dsp16.webp,att-we-dsp16-alt.webp,,,,,,,,,,
AT&T,MAC-8,,,att-mac-8.webp,,,,,,,,,,,
Cyrix,486,,,label_Cx486.gif,,,,,,,,,,,
Cyrix,486DX2,,,label_Cx486DX2.gif,,,,,,,,,,,
Cyrix,5x86,,,cyrix-5x86-logo.jpg,,,,,,,,,,,
Cyrix,6x86,,,family_logo-Cyrix-6x86.jpg,Cyrix_6x86-Logo.gif,,,,,,,,,,
Cyrix,6x86MX,,,Cyrix_6x86MX-logo.gif,,,,,,,,,,,
Cyrix,Cx486S,,,label_Cx486S.gif,,,,,,,,,,,
Cyrix,FasMath,,,label_FasMath.gif,,,,,,,,,,,
Cyrix,MediaGX,,,MediaGX-logo.jpg,Cyrix_MediaGX-logo.gif,,,,,,,,,,
Cyrix,MediaGXm,,,MediaGXm-logo.jpg,,,,,,,,,,,
Cyrix,MII,,,Cyrix_MII-logo.gif,label_MII.gif,,,,,,,,,,
"Data General",Eclipse,,,data-general-eclipse-logo.webp,,,,,,,,,,,
"Data General",Micronova,,,data-general-micronova-logo.webp,,,,,,,,,,,
DEC,Alpha,,,"DEC Alpha Generation logo.svg",family_logo-DEC-Alpha.jpg,,,,,,,,,,
DEC,LSI11,,,dec-lsi11-logo.webp,,,,,,,,,,,
DEC,PDP-1,,,dec-pdp-1-logo.webp,,,,,,,,,,,
DEC,PDP-10,,,dec-pdp-10-logo.webp,,,,,,,,,,,
DEC,PDP-11,,,"PDP-11 wordmark.svg",,,,,,,,,,,
DEC,PDP-12,,,"PDP-12 wordmark.svg",,,,,,,,,,,
DEC,PDP-15,,,dec-pdp-15-logo.webp,"PDP-15 wordmark.svg",,,,,,,,,,
DEC,PDP-6,,,dec-pdp-6-logo.webp,,,,,,,,,,,
DEC,PDP-7,,,dec-pdp-7-logo.webp,,,,,,,,,,,
DEC,PDP-8,,,dec-pdp-8-logo.webp,,,,,,,,,,,
DEC,PDP-8e,,,"PDP-8e wordmark.svg",,,,,,,,,,,
DEC,T-11,,,dec-t-11-logo.webp,,,,,,,,,,,
DEC,VAX,,,Dec-vax-logo.png,,,,,,,,,,,
DEC,VAX11,,,dec-vax11-logo.webp,,,,,,,,,,,
Fairchild,Clipper,,,fairchild-clipper-logo.webp,,,,,,,,,,,
Fairchild,F8,,,fairchild-f8-logo.webp,fairchild-f8-logo-alt.webp,,,,,,,,,,
Fujitsu,sparc64,,,sparc64-logo.gif,,,,,,,,,,,
GI,CP1600,,,gi-cp1600-logo.webp,,,,,,,,,,,
Hitachi,H8,300,,hitachi-h8-300-series-logo.webp,,,,,,,,,,,
Hitachi,SuperH,,,SuperH.jpeg,hitachi-super-h-logo.webp,,,,,,,,,,
Honeywell,Multics,,,honeywell-multics-logo.webp,,,,,,,,,,,
HP,PA-RISC,,,family_logo-HP-PA-RISC.jpg,PA-RISC_logo.png,PA-RISC-logo.gif,,,,,,,,,
IBM,6x86,,,label_IBM6x86.gif,,,,,,,,,,,
IBM,6x86MX,,,label_IBM6x86MX.gif,,,,,,,,,,,
IBM,Bluegene,,,ibm-bluegene.jpeg,,,,,,,,,,,
IBM,BlueLightning,,,label_BlueLightning.gif,,,,,,,,,,,
IBM,Power,,,ibm-power-logo.jpg,ibm-power-logo-2.png,,,,,,,,,,
IBM,"Power 7",,,ibm-power7-logo.jpg,,,,,,,,,,,
IBM,"Power 7+",,,ibm-power7plus.jpg,,,,,,,,,,,
IBM,"Power 8",,,ibm-POWER8-wide.png,,,,,,,,,,,
IBM,"Power 9",,,logo-ibm-power9.png,,,,,,,,,,,
IBM/Motorola/Apple,PowerPC,,,"PowerPC logo.svg",,,,,,,,,,,
IDT,WinChip,,,family_logo-IDT-WinChip.jpg,Idt-winchip.svg,,,,,,,,,,
"Imagination Technologies",PowerVR,,,family_logo-PowerVR.png,,,,,,,,,,,
Ingenic,Xburst,,,ingenic-xburst.png,,,,,,,,,,,
Intel,286,,,intel-286-logo.webp,,,,,,,,,,,
Intel,376,,,intel-376-logo.webp,,,,,,,,,,,
Intel,386,,,family_logo-Intel-i386-wide.gif,,,,,,,,,,,
Intel,486,,,family_logo-Intel-i486-wide.gif,i486-logo.jpg,,,,,,,,,,
Intel,2920,,,intel-2920-logo.webp,,,,,,,,,,,
Intel,8080,,,intel-8080-logo.webp,,,,,,,,,,,
Intel,386SX,,,intel-386SX-logo.webp,,,,,,,,,,,
Intel,486DX2,,,i486_DX2-logo.jpg,,,,,,,,,,,
Intel,Atom,,,family_logo-Intel-Atom-2.png,family_logo-Intel-Atom-vector.svg,"Intel Atom 2020 logo.svg",,,,,,,,,
Intel,Celeron,,,family_logo-Intel-Celeron.png,family_logo-Intel-Celeron-2.png,"Celeron Logo alt.svg",,,,,,,,,
Intel,"Celeron D",,,Intel_Celeron_D_(2006).svg,family_logo-Intel-Celeron-D.jpg,family_logo-Intel-Celeron-D-2.png,,,,,,,,,
Intel,"Celeron M",,,Intel_Celeron_M_(2006).svg,family_logo-Intel-Celeron-M.jpg,,,,,,,,,,
Intel,Core,Duo,,family_logo-Intel-CORE-Duo.png,,,,,,,,,,,
Intel,Core,i9,,"Intel Core i9 2020 logo.svg",,,,,,,,,,,
Intel,Core,Solo,,family_logo-Intel-CORE-Solo.png,,,,,,,,,,,
Intel,Core,,,"Intel Core 2020 Logo (Dark).svg",,,,,,,,,,,
Intel,"Core 2",Duo,,family_logo-Intel-CORE2-Duo-wide-vector.svg,Intel_Core_2_Duo.png,,,,,,,,,,
Intel,"Core 2",Extreme,,family_logo-Intel-CORE2-Extreme.png,family_logo-Intel-CORE2-Extreme-wide.png,,,,,,,,,,
Intel,"Core 2",Quad,,family_logo-Intel-CORE2-Quad.png,family_logo-Intel-CORE2-Quad-wide.png,,,,,,,,,,
Intel,"Core 2",Solo,,family_logo-Intel-CORE2-Solo.png,family_logo-Intel-CORE2-Solo-wide.gif,,,,,,,,,,
Intel,"Core 2",vPro,,family_logo-Intel-CORE2-vPro-wide.gif,,,,,,,,,,,
Intel,"Core i3",vPro,,family_logo-Intel-CORE-i3-vPro-wide.gif,,,,,,,,,,,
Intel,"Core i3",,,family_logo-Intel-CORE-i3-wide.png,"Intel Core i3 (11th generation, logo).svg",,,,,,,,,,
Intel,"Core i5",vPro,,family_logo-Intel-CORE-i5-vPro-wide-2.gif,family_logo-Intel-CORE-i5-vPro-wide.gif,,,,,,,,,,
Intel,"Core i5",,,family_logo-Intel-CORE-i5-wide.png,"Intel Core i5 (11th generation, logo).svg",,,,,,,,,,
Intel,"Core i7",vPro,,family_logo-Intel-CORE-i7-vPro-wide.gif,,,,,,,,,,,
Intel,"Core i7",,,family_logo-Intel-CORE-i7.gif,"Intel Core i7 (11th generation, logo).svg",family_logo-Intel-CORE-i7-wide.png,,,,,,,,,
Intel,"Core M",,,Intel_Core_M_Broadwell.svg,,,,,,,,,,,
Intel,"iAPX 186",,,intel-iAPX186-logo-alt.webp,,,,,,,,,,,
Intel,"iAPX 86",,,intel-iAPX-86-logo-alt.webp,,,,,,,,,,,
Intel,"iAPX 88",,,intel-iAPX-88-logo-alt.webp,intel-iAPX-88-logo-alt-2.webp,,,,,,,,,,
Intel,Itanium,,,"Intel Itanium logo.svg",Intel_Itanium_(2003).png,family_logo-Intel-Itanium.png,,,,,,,,,
Intel,"Itanium 2",,,Intel_Itanium_2_(2006).png,intel-itanium-2.jpg,,,,,,,,,,
Intel,MCS-40,,,intel-MCS-40-logo.webp,,,,,,,,,,,
Intel,MCS-48,,,intel-mcs-48-logo.webp,intel-mcs-48-logo-alt.webp,,,,,,,,,,
Intel,MCS-51,,,intel-MCS-51-logo.webp,,,,,,,,,,,
Intel,MCS-85,,,intel-MCS-85-logo.webp,,,,,,,,,,,
Intel,Modvidius,,,"Intel Modvidius Logo 2020.png",,,,,,,,,,,
Intel,Pentium,"Extream Edition",,Intel_Pentium_Extreme_Edition_Logo.png,,,,,,,,,,,
Intel,Pentium,Extreme,,family_logo-Intel-Pentium-Extreme.png,,,,,,,,,,,
Intel,Pentium,Gold,,"Intel Pentium Gold Logo 2020.png",,,,,,,,,,,
Intel,Pentium,M,,family_logo-Intel-Pentium-M.jpg,,,,,,,,,,,
Intel,Pentium,MMX,,Intel_Pentium_MMX_Processor_Logo.svg,,,,,,,,,,,
Intel,Pentium,Overdrive,,family_logo-Intel-Pentium-Overdrive-wide.gif,,,,,,,,,,,
Intel,Pentium,Pro,,"Intel Pentium Pro logo.svg",,,,,,,,,,,
Intel,Pentium,Silver,,"Intel Pentium Silver 2020 Logo.png",,,,,,,,,,,
Intel,Pentium,,,"Intel Pentium 2020 Logo.png",family_logo-Intel-Pentium-new-wide.jpg,Intel_Pentium_Processor_Logo.svg,,,,,,,,,
Intel,"Pentium 4",Extreme,,family_logo-Intel-Pentium-4-Extreme.jpg,,,,,,,,,,,
Intel,"Pentium 4",HT,,family_logo-Intel-Pentium-4-HT.jpg,,,,,,,,,,,
Intel,"Pentium 4","HT Extreme",,family_logo-Intel-Pentium-4-HT-Extreme.jpg,,,,,,,,,,,
Intel,"Pentium 4",,,family_logo-Intel-Pentium-4.jpg,Intel_pentium4_logo_original.png,Intel_pentium4_logo_original.png,,,,,,,,,family_logo-Intel-Pentium-4.png
Intel,"Pentium D",,,Intel_Pentium_D_Logo.png,family_logo-Intel-Pentium-D.png,,,,,,,,,,
Intel,"Pentium II",OverDrive,,Intel_PII_OverDrive-logo.gif,,,,,,,,,,,
Intel,"Pentium II",Xeon,,Intel_Pentium_II_Xeon.svg,,,,,,,,,,,
Intel,"Pentium II",,,family_logo-Intel-Pentium-II-vector.svg,label_PentiumII.gif,,,,,,,,,,
Intel,"Pentium III",M,,family_logo-Intel-Pentium-III-m-vector.svg,,,,,,,,,,,
Intel,"Pentium III",Xeon,,Intel_Pentium_III_Xeon.svg,,,,,,,,,,,
Intel,"Pentium III",,,family_logo-Intel-Pentium-III-vector.svg,,,,,,,,,,,
Intel,Series-3000,,,intel-series-3000-logo.webp,,,,,,,,,,,
Intel,Xeon,Bronze,,"Intel Xeon Bronze 2020 logo.svg",,,,,,,,,,,
Intel,Xeon,Gold,,"Intel Xeon Gold 2020 logo.svg",,,,,,,,,,,
Intel,Xeon,Phi,,Intel_Xeon_Phi_logo.svg,,,,,,,,,,,
Intel,Xeon,Platinum,,"Intel Xeon Platinum 2020 logo.svg",,,,,,,,,,,
Intel,Xeon,Silver,,"Intel Xeon Silver 2020 logo.svg",,,,,,,,,,,
Intel,Xeon,,,"Intel Xeon 2020 logo.svg",family_logo-Intel-Xeon.jpg,family_logo-Intel-Xeon-wide.gif,,,,,,,,family_logo-Intel-Xeon.png,
"Leap Frog",Leapster,,,Leapster-logo.webp,,,,,,,,,,,
Microchip,DISPIC,,,microchip-disPIC.png,,,,,,,,,,,
Microchip,PIC,,,microchip-PIC.png,,,,,,,,,,,
Microchip,PIC32,,,microchip-pic32-logo.webp,,,,,,,,,,,
Mitsubishi,M16C,,,mitsubishi-M16C-logo.webp,,,,,,,,,,,
MOS,6502,,,mos-6502.jpg,,,,,,,,,,,
Motorola,6800,,,motorola-m6800-logo.webp,,,,,,,,,,,
Motorola,68000,,,motorola-m68000-logo.webp,motorola-m68000-logo-alt.webp,motorola-m68000-logo-alt2.webp,,,,,,,,,
Motorola,68020,,,motorola-m68020-logo.webp,,,,,,,,,,,
Motorola,68030,,,motorola-mc68030-logo.webp,,,,,,,,,,,
Motorola,68040,M68EC040,,motorola-mc68ec040-logo.webp,,,,,,,,,,,
Motorola,68040,,,motorola-m68040-logo.webp,,,,,,,,,,,
Motorola,68060,,,motorola-m68060-logo.webp,,,,,,,,,,,
Motorola,683xx,M68330,,motorola-mc68330-logo.webp,,,,,,,,,,,
Motorola,683xx,M68340,,motorola-mc68340-logo.webp,,,,,,,,,,,
Motorola,AM2900,,,motorola-m2900-logo.webp,,,,,,,,,,,
Motorola,Coldfire,,,motorola-coldfire-logo.webp,motorola-coldfire-logo-alt.webp,,,,,,,,,,
Motorola,DSP56000,,,motorola-DSP56000-logo.webp,,,,,,,,,,,
Motorola,HC05,,,motorola-HC05.jpg,motorola-hc05-logo-alt.webp,,,,,,,,,motorola-hc05-alt2.jpg,
Motorola,HC08,,,motorala-hc08-logo.webp,,,,,,,,,,,
Motorola,HC11,,,motorola-hc11.jpg,,,,,,,,,,,
Motorola,HC12,,,motorola-HC12-logo.webp,motorola-hc12-logo-alt.webp,,,,,,,,,,
Motorola,M6805,,,motorala-m6805-logo.webp,,,,,,,,,,,
Motorola,M6809,,,motorola-m6809-logo.webp,,,,,,,,,,,
Motorola,MC14500B,,,motorola-mc14500b-logo.webp,,,,,,,,,,,
Motorola,QUICC,,,motorola-quicc-logo.webp,,,,,,,,,,,
"National Semiconductors",COP8,,,nsc-cop8-logo.webp,,,,,,,,,,,
"National Semiconductors",IMP16,,,nsc-imp16-logo.webp,,,,,,,,,,,
"National Semiconductors",NS32000,,,nsc-32000-logo.webp,,,,,,,,,,,
"National Semiconductors",PACE,,,nsc-pace-logo.webp,nsc-pace-logo-alt.webp,,,,,,,,,,
"National Semiconductors",SCMP,,,nsc-scmp-logo.webp,nsc-scmp-logo-alt.webp,,,,,,,,,,
NEC,uPD,,,nec-uPD.webp,,,,,,,,,,,
NexGen,Nx586,,,label_Nx586.gif,,,,,,,,,,,
Nintendo,DS,,,Nintendo_DS_Logo.svg,,,,,,,,,,,
Nintendo,"Game Boy",Advanced,,family_logo-Nintendo-Game_Boy-advanced.png,,,,,,,,,,,
Nintendo,"Game Boy",,,family_logo-Nintendo-Game_Boy.png,,,,,,,,,,,
Nintendo,"Game Cube",,,family_logo-Nintendo-Game-cube.png,,,,,,,,,,,
Nintendo,N64,,,family_logo-Nintendo-N64.png,,,,,,,,,,,
Nintendo,NES,,,family_logo-Nintendo-NES.png,,,,,,,,,,,
Nintendo,SNES,,,family_logo-Nintendo-SNES.png,,,,,,,,,,,
Nintendo,"Switch Lite",,,Nintendo_Switch_Lite_logo.svg,,,,,,,,,,,
Nintendo,Wii,,,family_logo-Nintendo-Wii.png,,,,,,,,,,,
Nvidia,Tegra,3,,Nvidia-Tegra-3-Logo.webp,,,,,,,,,,,
Nvidia,Tegra,CUDA,,family_logo-Nvidia-Tesla_CUDA.gif,,,,,,,,,,,
NVIDIA,Tegra,K1,,"NVIDIA Tegra K1 logo sticker (22562981807).jpg",,,,,,,,,,,
Parallax,Propeller,,,parallax-propeller-logo.png,,,,,,,,,,,
Qualcomm,Snapdragon,,,"Snapdragon Logo.svg","Snapdragon_(2018,_icon).webp",,,,,,,,,,
RCA,COSMAC,,,rca-cosmac-logo.webp,rca-1800-logo.webp,,,,,,,,,,
Renesas,M16C,,,family_logo-Renesas-M16C.gif,,,,,,,,,,,
Renesas,SuperH,,,Renesas-SuperH.gif,,,,,,,,,,,
Samsung,Exynos,,,"Samsung Exynos Logo 26021.jpg",,,,,,,,,,,
Signetics,2650,,,signetics-2650-logo.webp,,,,,,,,,,,
Signetics,8x300,,,signetics-8x300.jpg,,,,,,,,,,,
STMicroelectronics,Kyro,II,,Kyro2-logo.svg,,,,,,,,,,,
STMicroelectronics,STM32,,,stm32-logo.png,,,,,,,,,,,
STMicroelectronics,"STM32 Cube MX",,,STM32CubeMX.webp,,,,,,,,,,,
Sun,microSPARC,II,,microSPARC_II-logo.png,,,,,,,,,,,
Sun,microSPARC,,,microSPARC-logo.png,,,,,,,,,,,
Sun,SPARC,,,family_logo-SPARC.jpg,,,,,,,,,,,
Sun,SuperSPARC,,,SuperSPARC-logo.jpg,,,,,,,,,,,
Sun,Turbosparc,,,Turbosparc-logo.png,,,,,,,,,,,
Sun,Ultrasparc,T2,,Ultrasparc_T2-logo.png,,,,,,,,,,,
TI,340,,,TI-340-logo.jpg,,,,,,,,,,,
TI,99000,,,ti-99000-logo.webp,,,,,,,,,,,
TI,NS32000,,,ti-ti32000-logo.webp,ti-ti32000-logo-alt.webp,,,,,,,,,,
TI,NS32010,,,ti-tms32010-logo.webp,,,,,,,,,,,
TI,TMS320,,,ti-tms320-logo.webp,,,,,,,,,,,
TI,TMS370,,,ti-tms370-logo.webp,,,,,,,,,,,
TI,TMS7000,,,ti-tms7000-logo.webp,,,,,,,,,,,
TI,TMS990,,,ti-tms990-logo.webp,,,,,,,,,,,
TI,TMS9900,,,ti-tms9900-logo.webp,,,,,,,,,,,
Toshiba,TLCS,,,toshiba-tlcs-.webp,,,,,,,,,,,
TriMedia,TriMedia,,,family_logo-TriMedia.gif,Trimedia-logo.jpg,,,,,,,,,,
VIA,C3,,,VIA_C3_Processor_Logo.jpg,,,,,,,,,,,
VIA,C7,,,VIA_C7_Processor_Logo.jpg,,,,,,,,,,,
VIA,CyrixIII,,,VIA_CyrixIII-logo.gif,,,,,,,,,,,
VIA,Eden,X2,,"VIA Eden X2 Processor - Logo (5476043968).jpg",,,,,,,,,,,
VIA,Eden,,,VIA_Eden_Embedded_Processor_Logo-300x241.jpg,,,,,,,,,,,
VIA,E-Series,QuadCore,,"VIA QuadCore E-Series Logo (6776443082).jpg",,,,,,,,,,,
VIA,Nano,DC,,"VIA Nano DC Processor - Logo (5124711811).jpg",,,,,,,,,,,
Weitek,"SPARC POWER uP",,,Weitek-SPARC_POWER_uP-logo.jpg,,,,,,,,,,,
Zilog,eZ80,,,zilog-ez80-logo.webp,,,,,,,,,,,
Zilog,Z180,,,zilog-z180-logo.webp,,,,,,,,,,,
Zilog,Z8,,,zilog-z8-logo.webp,,,,,,,,,,,
Zilog,Z80,,,zilog-z80-logo.webp,,,,,,,,,,,
Zilog,Z8000,,,zilog-z8000-logo.webp,,,,,,,,,,,
Zilog,"Z8 Encore! XP",,,zilog-z8-encore-xp-logo.webp,,,,,,,,,,,
