New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,ET,1,X,AMD,R80286-10/S,,,,,CPU,286,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,24,10MHz,10MHz,,,"ext (80287)",none,,none,none,none,none,none,none,NA,NA,NA,16M,,CLCC-68,"24mm x 24mm",,134k,1.5u,NMOS,,5V,,,5V,,,,,3.15W,,,,1982,1982,,,,,,.,ic-photo-AMD--R80286-10_S-(286-CPU).png,,,,,,,datasheet-AMD--80286.pdf,,,,,,
,,,1,X,AMD,R80286-12/S,,,,,CPU,286,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,24,12MHz,12MHz,,,"ext (80287)",none,,none,none,none,none,none,none,NA,NA,NA,16M,,CLCC-68,"24mm x 24mm",,134k,1.5u,NMOS,,5V,,,5V,,,,,3.15W,,,,1982,1982,,,,,,,ic-photo-AMD--R80286-12_S-(286-CPU).jpg,,,,,,,datasheet-AMD--80286.pdf,,,,,,
,,J2,1,X,AMD,Am386DX-40,,,,,CPU,386,386DX,,,386-DX,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,10MHz,40MHz,,,"ext (80387)",none,,none,none,none,none,none,none,NA,NA,NA,4G,,"PQFP-132 on PGA-132",,,275k,1.5u,CMOS,,5V,,,5V,,,,,,,,,,,,"Desktop computers",,,,.,ic-photo-AMD--Am386DX-40-(NG80386DX-40)-(386-CPU).png,,,,,,,,,,,,,
,,JV,1,X,AMD,Am386DX/DXL-25,,A80386DXL-25,,,CPU,386,386DX,,,386-DX,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,25MHz,25MHz,,,"ext (80387)",none,,none,none,none,none,none,none,NA,NA,NA,4G,,CPGA-132,,,275k,1.5u,CMOS,,5V,,,5V,,,,,,,,,,,,"Desktop computers",,,,.,ic-photo-AMD--Am386DX_DXL-25-(A80386DXL-25)-(386-CPU).png,,,,,,,datasheet-AMD--AM386DXL.pdf,,,,,,
,,JW,1,X,AMD,Am386DX/DXL-33,,A80386DXL-33,,,CPU,386,386DX,,,386-DX,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,33MHz,33MHz,,,"ext (80387)",none,,none,none,none,none,none,none,NA,NA,NA,4G,,CPGA-132,,,275k,1.5u,CMOS,,5V,,,5V,,,,,,,,,1990,1990,,"Desktop computers",,,,.,ic-photo-AMD--Am386DX_DXL-33-(A80386DXL-33)-(386-CPU).png,,,,,,,datasheet-AMD--AM386DXL.pdf,,,,,,
,,J3,1,X,AMD,Am386DX/DXL-40,,A80386DXL-40,,,CPU,386,386DX,,,386-DX,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,40MHz,40MHz,,,"ext (80387)",none,,none,none,none,none,none,none,NA,NA,NA,4G,,CPGA-132,,,275k,1.5u,CMOS,,5V,,,5V,,,,,,,,,1990,1990,,"Desktop computers",,,,.,ic-photo-AMD--Am386DX_DXL-40-(A80386DXL-40)-(386-CPU).png,,,,,,,datasheet-AMD--AM386DXL.pdf,,,,,,
,,KW,1,X,AMD,Am386SX-40,,,,,CPU,386,386SX,,,386-SX,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,40MHz,40MHz,,,"ext (80387)",none,,none,none,none,none,none,none,NA,NA,NA,4G,,BPQFP-100,,NA,275k,0.8u,CMOS,,5V,,,5V,,,,,,,,,1990,1990,,,,,,(NG80386SX-40),ic-photo-AMD--Am386SX-40--(NG80386SX-40)--(386-CPU).png,,,,,,,datasheet-AMD-Am386SX-SXL-SXLV.pdf,,,,,,
,,,1,X,AMD,A80486DX2-66NV8T,Am486DX2-66,,,,CPU,486,486DX2,,,,,486,,http://en.wikipedia.org/wiki/X86_instruction_listings,,,,,Yes,1,,,32,32,32,66MHz,33MHz,,,integrated,none,,8k,,,,,,NA,NA,NA,4G,,CPGA-168,,"Socket 1,2,3",,0.5u,CMOS,,3.3V,,,,,,,,2.38W,,,,1994,1994,,,MMU,,,,ic-photo-AMD--A80486DX2-66NV8T--(486-CPU).JPG,,,,,,,datasheet-AMD-Am486DX2-DX4-DX5.pdf,,,,,,
,,"AG, AH",2,1,AMD,A80486DX4-100NV8T,,,,,CPU,486,486DX4,,,486-DX4,,"x86, FPU, SSM, Protected",,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,100MHz,33MHz,,3,integrated,none,,8k,,,,,none,NA,NA,NA,4G,,CPGA-168,,"Socket 3",1M,0.5u,CMOS,,3.3V,,,,,,,,3.6W,,,,,,,"Desktop computers",MMU,,,.,ic-photo-AMD--A80486DX4-100NV8T-(486-CPU).png,,,,,,,datasheet-AMD-Am486DX4.pdf,,,,,,
,,"J1, JZ",2,1,AMD,Am486DX-40,,,,,CPU,486,486DX,,,486-DX,,"x86, FPU, SSM, Protected",,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,32,32,32,40MHz,40MHz,,,integrated,none,,,,,,,,NA,NA,NA,4G,,CPGA-168,,"Socket 1,2,3",1M,0.8u,CMOS,,5V,,,5V,,,,,,,,,1995,1995,,"Desktop computers",,,,,ic-photo-AMD--Am486DX-40-(A80486DX-40)-(486-CPU).jpg,,,,,,,datasheet-AMD-Am486DX.pdf,,,,,,
,,,2,1,AMD,AM486DX5-133V16BHC,,Am5x86-P75,,,CPU,486,486DX5,,,486DX5,,,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,AMD,"Based on Intel 486",1,,,32,32,32,133MHz,33MHz,,4,integrated,none,,16k,,,,ext,none,NA,NA,NA,4G,,SQFP-208,,NA,"1.6 M",0.35u,CMOS,43mm^2,3.3V,,,,,,,,3.5W,,,,1995,1995,,,,,,,ic-photo-AMD--AM486DX5-133V16BHC--(Am5x86-P75)--(486-CPU).JPG,,,,,,,datasheet-AMD-Am486DX.pdf,,,,,,
,,,1,1,AMD,AM8255ADC,,,,,Support,8080,,,,,,,,,,,,,Yes,,,,,,,,,,,NA,none,,NA,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KU,1,X,AMD,AM9080ADC,,C8080A,,,CPU,8080,,,,8080A,,8080,,,,,,"Intel clone",Yes,1,,,8,8,16,2MHz,2MHz,,,none,none,,none,none,none,none,none,none,NA,NA,NA,64k,,CDIP-40,"52mm x 16mm",DIP,6k,6.0u,NMOS,,5/12/-5V,,,,,,,,1.14W,,,,1975,1975,,,,,,,ic-photo-AMD--AM9080ADC-(8080-CPU).png,,,,,,,datasheet-AMD-Am9080A.pdf,,,,,,
,,KS,1,X,AMD,AM9080APCB,,P8080AB,,,CPU,8080,,,,8080AB,,8080,,,,,,"Intel clone",Yes,1,,,8,8,16,2MHz,2MHz,,,none,none,,none,none,none,none,none,none,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,6k,6.0u,NMOS,,5/12/-5V,,,,,,,,1.14W,,,,1975,1975,,,"Burn-in screening",,,.,ic-photo-AMD--AM9080APCB-(8080-CPU).png,,,,,,,datasheet-AMD-Am9080A.pdf,,,,,,
,,KR,1,X,AMD,AM8085APC,,,,,CPU,8085,,,,,,8085,,,"von Neumann",,,,Yes,1,,,8,8,16,3MHz,3MHz,,,none,none,,none,none,none,none,none,none,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,6.5k,3.0u,NMOS,,5V,,,,,,,,0.89W,,,,1976,1976,,,,,,.,ic-photo-AMD--AM8085APC-(8085-CPU).png,,,,,,,datasheet-AMD-8085A.pdf,,,,,,
,,K3,1,X,AMD,P8086-2,,,,,CPU,8086,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,20,8MHz,8MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PDIP-40,"52mm x 16mm",DIP,29k,3.0u,NMOS,,5V,,,5V,,,,,1.75W,,,,1979,1979,,,,,,.,ic-photo-AMD--P8086-2--(8086-CPU).JPG,,,,,,,datasheet-AMD--8086--8086-1--8086-2.pdf,,,,,,
,,K2,2,1,AMD,D8088,,,,,CPU,8088,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,8,20,5MHz,5MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,CDIP-40,"52mm x 16mm",DIP,29k,3u,HMOS,,5V,,,5V,,,,,1.7W,,,,1979,1979,,,,,,.,ic-photo-AMD--D8088-(8088-CPU).png,,,,,,,datasheet-AMD--8088.pdf,,,,,,
,,KT,1,X,AMD,P8088-2,,,,,CPU,8088,,,,,,x86-16,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,8,20,8MHz,8MHz,,,"ext (8087)",none,,none,none,none,none,none,none,NA,NA,NA,1M,,PDIP-40,"52mm x 16mm",DIP,29k,3.0u,NMOS,,5V,,,5V,,,,,1.75W,,,,1979,1979,,,,,,.,ic-photo-AMD--P8088-2-(8088-CPU).png,,,,,,,datasheet-AMD--8088.pdf,,,,,,
NEW,"AM3305DDX22GX (A4-3305M)",,1,X,AMD,AM3305DDX22GX,,,,,CPU,A4-Series,A4-3305M,,,Llano,300F10,,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, SSE4A, AMD64, EVP, AMD-V",,,,K10,AMD,no,2,,,64,,64,"1.9GHz (2.5GHz Turbo)",,,,integrated,"Radeon HD 6480G",,"2x 64k/64k",,"2x 64k","2x 64k","2x 512k",none,NA,NA,NA,,"DDR3, DDR3L",UOL722,,"Socket FS1",,32nm,CMOS,,,,"0.875V - 1.4125V",,,,,,,35W,PowerNow!,100C,2011,2011,,"Mobile computers","Turbo Core, PCIe, UVD",,1,,,,,,,,,,,,,,,
NEW,"AD3500OJZ33GX (A6-3500)",,1,x,AMD,AD3500OJZ33GX,,,,,CPU,A6-Series,3500,,,Llano,300F10,x86-64,"MMX, MMX extentions, 3DNow!, 3DNow! extentions, SSE, SSE2, SSE3, SSE4a, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,K10,AMD,no,3,,,64,,64,"2.1GHz (2.4GHz turbo)",,,,integrated,"Radeon HD 6530D",,"3x 64k/64k",,"3x 64k","3x 64k","3x 1M",none,NA,NA,NA,,DDR3,"Lidded uOPGA-904 (UOF904)","40mm x 40mm","Socket FM1",1178M,32nm,CMOS,227mm^2,,,"0.45V - 1.4125V",,,,,,,65W,PowerNow!,70.9C,2011,2011,89,"Desktop computers","Turbo Core, PCI Express 2.0, UVD 3.0",,,,,,,,,,,,,,,,,
NEW,,,1,x,AMD,AD640KOKA23HL,,,,,CPU,A6-Series,6400K,,,Richland,610F31,x86-64,"MMX, MMX+, 3DNow!, 3DNow!+, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4a, AES, AVX, BMI1, F16C, FMA3, FMA4, TBM, XOR, AMD64, EVP",http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86-64,Piledriver,AMD,no,2,,,64,,64,"3.9GHz (4.1GHz Turbo)",,,,"integrated (shared)","Radeon HD 8470D",,"(64k shared)/(2x 16k)",,"2x 16k","64k shared","1M shared",none,NA,NA,NA,,DDR3,"Lidded uOPGA-904 (UOF904)","40mm x 40mm","Socket FM2",,32nm,CMOS,,,,,,,,,,,65W,"Core C1, C1E, C6 and CC6 states; Package S3, S4 and S5 states; PowerNow!",70C,2013,2013,71,"Desktop computers","Turbo Core 3.0, PCI Express 2.0, UVD 3.2",,1,,,,,,,,,,,,,,,
,,BD-----,1,X,AMD,AU1100-333MBC,,,,,CPU,Alchemy,,,,"Au1100 (Au1)",,,,,RISC,MIPS,,,,,,,32,32,32,333MHz,,,,none,,,16k/16k,,,,,,NA,NA,NA,,,PBGA-399,,NA,,,,,"2.5-3.3 V",,,,,,,,,,,,,,,"Embedded systems",,,,"Alcumy, MIPS32 instructions",ic-photo-AMD--AU1100-333MBC-(Alchemy-CPU).png,,,,,,,datasheet-AMD-Alchemy-Au1100.pdf,,,,,,
NEW,,,1,x,AMD,AM2901ADC,,,,,BSP,Am2900,,,,AM2901A,,AM2901,,,,AM2901,,AMD,no,1,,,4,4,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-40,"52mm x 16mm",DIP,,,"Ion-omplanted micro-oxide","0.132in x 0.149in",5V,,,,,,,,,,,,,,,,,,,"4-bit-slice ALU",,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HD,1,X,AMD,AM2901BDC,,,,,BSP,Am2900,,,,AM2901B,,AM2901,,,,AM2901,,AMD,No,1,,,4,4,,16MHz,16MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-40,"52mm x 16mm",DIP,,,"Ion-omplanted micro-oxide","0.117in 0.128in",5V,,,,,,,,1.39W,,,,,,,,,,,"4-bit-slice ALU",ic-photo-AMD--AM2901BDC-(2900-ALU).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HE,1,X,AMD,AM2901BPCB,,,,,BSP,Am2900,,,,AM2901B,,AM2901,,,,AM2901,,AMD,No,1,,,4,4,,16MHz,16MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,,9.36mm^2,5V,,,,,,,,,,,,,,,,,,,"4-bit-slice ALU",ic-photo-AMD--AM2901BPCB-(Am2900-ALU).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,CZ,1,X,AMD,AM2901CPC,,,,,BSP,Am2900,,,,AM2901C,,AM2901,,,,AM2901,,AMD,No,1,,,4,4,,32MHz,32MHz,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,,,5V,,,,,,,,1.39W,,,,,,,,,,,"4-bit-slice ALU",ic-photo-AMD--AM2901CPC-(Am2900-ALU).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,GY,1,X,AMD,AM2901DC,,,,,BSP,Am2900,,,,AM2901,,AM2901,,,,AM2901,,AMD,No,1,,,4,4,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-40,"52mm x 16mm",DIP,,,,"0.167in x 0.198in",5V,,,,,,,,1.39W,,,,,,,,,,,"4-bit-slice ALU",ic-photo-AMD--AM2901DC-(2900-ALU).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HO,1,X,AMD,AM2902APC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,4,4,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PDIP-16,,DIP,,,Bipolar,"0.062in x 0.067in",5V,,,,,,,,,,,,,,,,,,,"Carry look-ahead",ic-photo-AMD--AM2902APC-(2900-Multiplier).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HQ,1,X,AMD,AM2903ADCB,,,,,BSP,Am2900,,,,,,,,,,,,AMD,No,1,,,4,4,,16MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Side-brazed CDIP-48","2.4in x 0.6in",DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"4-bit-slice ALU, with hardware multiply",ic-photo-AMD--AM2903ADCB-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HR,1,X,AMD,AM2903DC,,,,,BSP,Am2900,,,,,,,,,,,,AMD,No,1,,,4,4,,16MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-48,"2.4in x 0.6in",DIP,,,Bipolar,"0.163in x 0.197in",5V,,,,,,,,,,,,,,,,,,,"4-bit-slice ALU, with hardware multiply",ic-photo-AMD--AM2903DC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HN,1,X,AMD,AM2909DC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,4,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-32?48,,DIP,,,,"0.11in x 0.16in",,,,,,,,,,,,,,,,,,,,"MICROPROGRAM SEQUENCER ",ic-photo-AMD--AM2909DC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HC,2,1,AMD,AM2910ADC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,12,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP,,DIP,,,HCMOS,,,,,,,,,,,,,,,,,,,,,"12-bit address sequencer",ic-photo-AMD--AM2910ADC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
NEW,,,1,X,AMD,AM2911APC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4-bit-slice address sequencer",,,,,,,,,,,,,,
,,HA--------,1,X,AMD,AM2918PC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,X,4,X,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Skinny PDIP-16","19mm x 9mm",DIP,,,TTL,"0.077in x 0.079in",5V,,,,,,,,,,,,,,,,,,,"Instruction Register, Quad D Register,",ic-photo-AMD--AM2918PC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HW,1,X,AMD,AM2946PC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,8,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Skinny PDIP-20","26mm x 9mm",DIP,,,TTL,,5V,,,,,,,,,,,,,,,,,,,"Octal Bus-Line Transceiver",ic-photo-AMD--AM2946PC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HK,1,X,AMD,AM2950APC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,8,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,PDIP-28,,DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"Input/Output Port",ic-photo-AMD--AM2950APC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HL,1,X,AMD,AM2952ADCB,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,8,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-24,,DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"Input/Output Port",ic-photo-AMD--AM2952ADCB-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,"HP, HI",3,1,AMD,AM2960-1DC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,16,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-48,"2.4in x 0.6in",DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"Cascadable 16-Bit Error Detection and Correction Unit,",ic-photo-AMD--AM2960-1DC-(Am2900)-gold.png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HJ,2,1,AMD,AM2960DC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,16,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,CDIP-48,"2.4in x 0.6in",DIP,,,Bipolar,,5V,,,,,,,,,,,,,,,,,,,"Cascadable 16-Bit Error Detection and Correction Unit,",ic-photo-AMD--AM2960DC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HS,1,X,AMD,AM2965PC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,8,X,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Skinny PDIP-20","26mm x 9mm",DIP,,,Bipolar,"0.094” x 0.060”",5V,,,,,,,,,,,,,,,,,,,"Octal Dynamic Memory Drivers",ic-photo-AMD--AM2965PC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
,,HT,1,X,AMD,AM2966PC,,,,,Support,Am2900,,,,,,,,,,,,AMD,No,NA,,,,8,X,X,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"Skinny PDIP-20","26mm x 9mm",DIP,,,Bipolar,"0.094” x 0.066”",5V,,,,,,,,,,,,,,,,,,,"Octal Dynamic Memory Driver",ic-photo-AMD--AM2966PC-(Am2900).png,,,,,,,datasheet-AMD-1979_2900_family.pdf,,,,,,
